TotalSqFeet,TotBathroom,OverallQual,GarageCars,Age,SalePrice
1728,2,5,2,48,129900
2164,1.5,6,2,24,134000
1557,1,5,1,57,96500
4026,3.5,10,3,0,402861
2808,2.5,6,2,37,158000
3608,2.5,7,3,12,265000
2590,3.5,6,2,9,211000
3356,1.5,7,1,5,234000
1294,2,4,0,8,106250
2488,1.5,6,1,50,150000
2668,2,6,2,56,159000
7814,4.5,10,3,-1,184750
3777,3.5,7,3,10,315750
2523,2,7,2,1,176000
1856,1,5,1,7,132000
4165,3.5,9,3,0,446261
1133,2,4,0,5,86000
4550,4,6,2,32,200624
2970,3,6,2,19,175000
1973,2,6,2,9,128000
827,1,5,1,3,107500
334,1,1,0,57,39300
2121,2.5,8,2,2,178000
2464,2,5,0,17,107500
2604,2.5,7,2,9,188000
1728,1,4,2,36,111250
2210,1.5,5,1,38,158000
3182,3,8,2,8,272000
3676,3,9,3,3,315000
3254,2.5,8,3,7,248000
3330,3,7,2,10,213250
1490,2,7,1,9,133000
2150,3.5,7,2,0,179665
3387,2.5,7,3,18,229000
2700,1.5,6,2,57,210000
1536,2,5,2,37,129500
1650,2,5,2,13,125000
3006,2.5,7,2,5,263000
2138,2,6,2,31,140000
1856,1,5,1,51,112500
3426,2,8,3,3,255500
1126,2,4,2,6,108000
3044,3.5,7,3,4,284000
2041,1,5,1,56,113000
2184,2,5,1,49,141000
1973,1.5,4,1,56,108000
2175,3,7,2,11,175000
2931,2,7,2,2,234000
2784,2.5,5,2,14,121500
2778,2,5,2,31,170000
1992,2,5,0,39,108000
2837,2,6,2,58,185000
3390,3.5,7,2,6,268000
2453,2.5,6,1,60,128000
3626,2.5,9,3,1,325000
3052,2,7,2,6,214000
3628,2.5,8,2,0,316600
1886,2,5,2,27,135960
3456,2,5,2,43,142600
1728,2,6,1,47,120000
2538,2.5,7,2,0,224500
1814,2.5,7,2,7,170000
1481,1.5,5,1,2,139000
2048,1,5,1,58,118500
2338,2.5,7,1,59,145000
2484,2,5,2,40,164500
2081,2,7,2,1,146000
2845,2,5,1,54,131500
2573,1.5,6,2,20,181900
4084,2.5,8,3,0,253293
1632,2,6,0,17,118500
4012,3.5,10,2,8,325000
2457,1,4,1,14,133000
3896,3,8,3,0,369900
1654,2,6,1,8,130000
1700,2,5,2,27,137000
2910,3,5,1,6,143000
1677,1,5,1,48,79500
2352,2.5,7,2,4,185900
4018,3.5,10,3,1,451950
1632,2,5,2,5,138000
1696,2,6,2,6,140000
1848,1,5,1,33,110000
3640,3,8,3,0,319000
2052,1,6,1,13,114504
2660,2,7,3,0,194201
3077,3,5,2,29,217500
2272,3.5,6,2,28,151000
2962,3.5,8,2,1,275000
2155,1.5,6,1,57,141000
2823,3.5,8,2,14,220000
1800,2.5,7,2,5,151000
2988,3,7,2,6,221000
2754,2.5,7,2,19,205000
2080,2,5,2,13,152000
2904,4,5,1,4,225000
4159,2.5,8,2,9,359100
2058,2,4,1,46,118500
3593,3.5,9,3,9,313000
2064,2.5,6,2,29,148000
3171,3.5,8,2,8,261500
2240,1,5,0,0,147000
1260,2,4,0,38,75500
1990,2,6,2,47,137500
2292,3.5,6,2,3,183200
1664,1,6,2,54,105500
3650,2,9,3,0,314813
3744,3.5,8,3,5,305000
1728,2,3,0,58,67000
4136,2.5,6,2,11,240000
1960,1,5,2,32,135000
2268,2.5,6,2,7,168500
2522,3,6,2,34,165150
2232,1.5,6,2,48,160000
2400,1,5,1,29,139900
2676,2,6,1,38,153000
3120,2.5,5,2,38,135000
2598,2.5,6,2,44,168500
2386,1,5,1,15,124000
3108,2,8,2,1,209500
2797,2,7,2,32,82500
2112,1.5,5,1,2,139400
2112,2,6,2,30,144000
4835,2,6,0,12,200000
1064,1,2,0,59,60000
2198,2,5,1,55,93000
1592,1,5,0,58,85000
3087,3,8,3,0,264561
3036,1.5,8,2,4,274000
2986,3.5,7,2,6,226000
4656,3.5,8,2,14,345000
2400,2.5,5,2,38,152000
3532,3.5,9,3,0,370878
1962,2.5,6,2,36,143250
1048,1,5,2,58,98300
2188,1,6,2,55,155000
2595,1.5,6,2,44,155000
1260,2,4,0,37,84500
2478,2.5,7,2,1,205950
2265,2,4,1,59,108000
2596,2.5,7,2,13,191000
2225,1,6,1,13,135000
4222,3.5,8,3,13,350000
1617,1.5,6,1,39,88000
2106,2.5,5,1,2,145500
2278,1.5,7,1,8,149000
2370,1.5,6,1,60,97500
2972,2,5,2,10,167000
2728,2.5,7,2,31,197900
4077,3.5,8,3,4,402000
2784,2,6,2,41,110000
2319,3,4,2,36,137500
4174,2.5,8,3,0,423000
3342,2.5,8,2,6,230500
3401,2.5,6,2,28,129000
3087,3,6,2,10,193500
2625,2.5,5,2,19,168000
1880,1,4,1,56,137500
2214,3.5,6,2,4,173500
2041,3,6,1,59,103600
2416,2.5,6,2,29,165000
3316,3,6,2,3,257500
2272,2,6,1,43,140000
2296,2.5,6,2,31,148500
2869,3,4,3,56,87000
1560,1,5,1,3,109500
4092,2.5,8,3,1,372500
1976,2,5,2,46,128500
1846,2,6,1,30,143000
2313,1,5,1,9,159434
2582,2,6,2,11,173000
3294,3,9,3,5,285000
3034,2.5,7,2,12,221000
3280,3,7,2,23,207500
2635,3,7,2,0,227875
1653,2.5,7,2,3,148800
2838,3,8,2,0,392000
2724,2,6,2,1,194700
1696,2,6,2,4,141000
6760,4,10,3,12,755000
3729,3.5,7,2,16,335000
2146,1,5,1,38,108480
2466,1.5,5,2,59,141500
2249,3,6,2,19,176000
1232,1,5,1,56,89000
2128,1.5,5,1,54,123500
1788,2,5,1,1,138500
2782,2,7,2,4,196000
3600,3,8,3,4,312500
2328,1.5,7,2,37,140000
3810,2.5,8,3,0,361919
2172,2,5,2,14,140000
2957,3,7,2,5,213000
1092,2,4,0,60,55000
3467,3,7,2,5,302000
2648,3,8,2,3,254000
2184,2.5,7,2,0,179540
1780,1,5,1,42,109900
999,1,3,0,5,52000
2037,1,4,1,60,102776
2456,3,8,2,19,189000
1920,2,4,2,36,129000
2204,2.5,6,2,5,130500
2414,2,6,2,35,165000
3272,1.5,7,2,9,159500
2354,2,5,2,8,157000
3729,3.5,7,3,14,341000
1942,1.5,5,1,37,128500
3484,3,8,2,21,275000
1696,2,6,2,6,143000
1728,1,4,2,39,124500
2411,2,4,1,36,135000
3396,3,9,3,1,320000
1728,1,4,2,39,120500
2560,3,6,2,2,222000
2464,3,7,2,2,194500
3360,3,5,3,51,110000
1988,1,4,2,59,103000
3211,3,8,2,14,236500
2014,3,7,2,4,187500
3184,2.5,7,2,9,222500
2008,2,5,1,26,131400
1896,1,5,1,39,108000
2648,1.5,7,2,36,163000
1040,2,3,2,56,93500
2694,2.5,8,3,1,239900
2400,6,5,0,21,179000
2592,2.5,7,2,5,190000
1696,2,5,2,5,132000
1824,2.5,6,1,12,142000
2698,2,7,2,6,179000
1984,2.5,5,2,10,175000
2674,3,8,2,15,180000
3857,4,8,2,12,299800
3208,2.5,7,2,9,236000
3880,1.5,7,4,6,265979
3440,3,7,2,14,260400
1529,2,4,1,59,98000
1716,1,4,0,6,96500
1980,2.5,7,2,4,162000
2973,3,6,2,9,217000
3128,2.5,8,3,1,275500
2052,2,6,2,4,156000
2200,2.5,6,2,10,172500
2634,2.5,8,2,2,212000
2058,2.5,6,2,32,158900
2245,2.5,7,2,9,179400
3849,2.5,8,3,12,290000
1728,1,6,1,50,127500
2446,1,5,2,59,100000
2303,2.5,7,2,1,215200
3617,3.5,8,3,10,337000
2988,2.5,8,2,10,270000
3004,2,9,2,0,264132
2694,2.5,7,2,22,196500
2733,3,6,1,23,160000
3696,2,7,2,1,216837
4929,4.5,8,3,7,538000
1716,2,5,2,27,134900
2056,1,4,2,55,102000
2146,2,6,2,34,107000
1824,1,5,1,49,114500
3908,2,8,3,1,395000
2408,3,6,2,11,162000
3228,2,7,3,0,221500
1758,2,5,2,32,142500
2020,2,5,2,30,144000
1979,2,6,2,29,135000
2490,2,7,2,11,176000
2364,2.5,6,2,14,175900
2843,2,7,2,7,187100
2207,2,5,2,31,165500
2226,2,6,0,7,128000
2714,2,6,2,42,161500
2338,3,5,1,60,139000
3040,3.5,7,2,6,233000
1802,1,4,1,8,107900
2919,2.5,6,2,0,187500
2290,2,7,2,3,160200
2091,2,6,2,31,146800
3130,3.5,7,2,10,269790
2992,2,8,2,0,225000
2607,2.5,7,2,12,194500
2214,2.5,6,2,29,171000
1945,1.5,6,2,30,143500
1546,1,5,1,55,110000
5066,3.5,9,3,0,485000
2499,2.5,5,1,57,175000
2304,3.5,6,2,11,200000
2392,2,4,2,17,109900
2184,3.5,7,2,3,189000
4556,3.5,9,3,0,582933
2064,1,5,1,52,118000
2845,2,7,2,0,227680
1960,2,5,1,39,135500
2900,3.5,5,2,5,223500
2110,2,5,2,40,159950
2987,2,5,2,44,106000
2349,2.5,6,2,7,181000
1696,2,6,2,4,144500
1584,1,5,2,58,55993
2884,1.5,6,1,49,157900
1936,2,5,1,56,116000
3310,2,7,2,12,224900
2016,1,5,1,52,137000
3257,3,8,3,6,271000
2062,2,6,2,39,155000
2716,3,7,2,0,224000
2438,2.5,7,2,5,183000
1872,1,4,2,56,93000
2580,2.5,7,2,4,225000
2267,2,6,1,59,139500
2978,2,8,2,0,232600
4162,3,10,3,0,385000
1568,2,5,0,58,109500
2888,2,7,2,8,189000
3139,3,5,2,42,185000
1823,2.5,7,2,1,147400
2784,2.5,6,2,51,166000
1800,2.5,7,2,1,151000
2770,3.5,7,2,7,237000
3032,1.5,6,2,45,167000
2288,2,5,2,47,139950
2134,2,4,2,15,128000
3118,2,5,2,34,153500
1470,2.5,6,1,35,100000
2198,1.5,5,1,2,144000
1968,1,5,1,13,130500
2154,2,6,1,58,140000
2189,2,5,2,6,157500
2292,2.5,6,2,42,174900
3600,2,5,0,46,141000
2292,1.5,5,3,58,153900
3091,3,5,2,26,171000
2515,3.5,7,2,16,213000
1728,2,5,1,37,133500
3265,3,6,2,11,240000
2383,2.5,6,2,13,187000
1696,2,6,2,4,131500
2729,2,8,2,3,215000
2564,2,7,1,57,164000
2572,1.5,6,2,45,158000
3542,2.5,5,2,32,170000
2080,2.5,5,1,0,127000
1966,2,6,2,30,147000
2183,2.5,6,2,14,174000
2460,2,7,2,33,152000
3708,3.5,6,2,22,250000
2338,1.5,7,1,9,189950
2078,2.5,5,2,45,131500
2137,2,6,2,25,152000
2296,2,5,1,50,132500
2744,2,7,2,0,250580
2004,2,5,2,39,148500
3284,2,8,3,0,248900
2160,2.5,4,2,46,129000
2320,2,5,2,56,169000
2999,3.5,7,2,16,236000
1788,1,5,1,47,109500
2486,2.5,6,2,12,200500
1015,1,5,2,12,116000
2100,1,5,1,59,133000
1807,1.5,5,1,59,66500
3794,2.5,8,2,0,303477
2104,2,4,2,44,132250
3686,3.5,9,3,4,350000
2264,2,5,2,15,148000
1728,2,5,1,4,136500
2180,2.5,5,2,1,157000
2873,2.5,7,2,16,187500
2401,2.5,6,2,16,178000
3025,2,4,1,56,118500
1784,1,5,1,42,100000
3407,3,9,2,8,328900
3338,2,5,2,1,145000
2209,1.5,5,1,53,135500
4434,3,8,2,37,268000
3010,2,6,2,56,149500
1596,1,5,2,1,122900
2601,2.5,6,2,31,172500
2127,1.5,6,1,3,154500
2766,2,5,1,54,165000
1535,2,5,2,30,118858
2576,2.5,6,2,45,140000
1902,1,4,1,56,106500
2240,2,5,2,30,142953
4694,3.5,9,3,0,611657
2148,1,5,1,12,135000
1716,1,4,1,36,110000
2298,2,5,1,9,153000
2292,2.5,7,2,3,180000
3340,2,7,3,0,240000
1778,1,5,1,40,125500
2119,2,5,1,56,128000
3259,3,8,3,1,255000
3074,1.5,7,1,19,250000
1766,2,5,2,23,131000
2226,2.5,6,2,4,174000
3379,2,5,2,50,154300
2536,1.5,5,1,20,143500
1783,1,5,1,56,88000
3003,2,5,3,57,145000
1836,2.5,6,2,0,173733
1638,1.5,4,1,37,75000
960,1,2,1,56,35311
2363,1,4,1,53,135000
3231,3.5,7,3,16,238000
2598,2,6,2,6,176500
2649,3,6,2,13,201000
3472,5,5,0,5,145900
2632,2,6,2,0,169990
3221,3,6,2,14,193000
3372,3,6,2,26,207500
2252,2.5,5,2,31,175000
3555,2.5,8,3,3,285000
2810,2.5,7,2,40,176000
3541,2,8,2,8,236500
3200,2.5,7,2,9,222000
2932,2,8,3,2,201000
1850,1.5,5,1,44,117500
3810,2,9,3,1,320000
3000,2,7,2,5,190000
2654,3,7,2,1,242000
1347,1,4,2,53,79900
2376,3,7,2,6,184900
3084,2.5,7,2,4,253000
3353,2.5,7,3,0,239799
3435,2,7,1,60,244400
3456,2,6,2,30,150900
